orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
Sai Sri Durga Travels,23:20,07h 00m,06:20,500.0,2.0,25,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,23:35,06h 05m,05:40,890.0,2.0,14,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Laharisa Tours and Travels,23:50,05h 48m,05:38,700.0,2.0,36,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Chandu Travels,23:45,06h 10m,05:55,580.0,2.0,20,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,00:15,06h 35m,06:50,500.0,2.0,31,NON A/C Seater/ Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Nani Svkdt Travels,23:41,06h 04m,05:45,870.0,2.0,16,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vinay's Tours and Travels,22:30,06h 55m,05:25,699.0,2.0,23,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Dasari Travels,23:07,07h 08m,06:15,1100.0,2.0,36,Volvo Multi-Axle A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,15:30,07h 35m,23:05,790.0,1.0,16,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai RK Travels,22:55,07h 05m,06:00,610.0,2.0,40,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Varun Travels,23:25,05h 45m,05:10,700.0,3.0,28,Scania AC Multi Axle Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Navayuga Travels,00:25,06h 16m,06:41,610.0,2.0,27,NON AC Seater / Sleeper 2+1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
LVP Travels,22:57,06h 33m,05:30,880.0,4.0,28,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
BSR Tours And Travels,00:10,06h 35m,06:45,880.0,3.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Ramana Tours And Travels,23:40,07h 23m,07:03,670.0,3.0,15,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,05:00,05h 30m,10:30,500.0,1.0,26,NON A/C Seater/ Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Atluri Travels,23:45,05h 45m,05:30,610.0,2.0,23,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours and Travels Grand,15:20,06h 10m,21:30,800.0,1.0,32,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
DMR Travels,23:50,06h 35m,06:25,880.0,2.0,23,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
KKaveri Travels,23:25,06h 20m,05:45,670.0,2.0,21,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
LVP Travels,23:45,07h 30m,07:15,880.0,2.0,31,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Rainbow Tours And Travels,23:55,06h 15m,06:10,560.0,2.0,23,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Atluri Travels,23:35,06h 30m,06:05,610.0,2.0,28,NON AC Seater / Sleeper 2+1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Ramana Tours And Travels,01:00,06h 02m,07:02,610.0,1.0,23,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
